,9021
knuckle,4
knucklebones,1
knuckles,1
knuckling,2
knud,1
knuff,1
knuffelbuntspiel,1
knusperhauschenspiel,1
knusperhexe,1
knyfe,1
ko,12
koa,1
koala,6
koalabroderna,1
koalas,1
koalition,1
koan,1
koba,1
koban,2
kobani,1
kobayakawa,1
kobayashi,1
kobe,2
kobenhavn,1
kobes,1
koblenz,1
koblenzspiel,1
kobmand,1
kobold,3
koboldbande,2
kobolde,1
kobolds,2
koboler,1
kobra,1
kocham,1
kochankowie,1
kochersberg,1
kochgeschirr,1
kochtopfspiel,1
kock,1
kockatoo,1
kocken,1
kod,1
kodama,5
kodbenet,1
kodderschnauze,1
koder,1
kodiak,1
kodo,1
koe,1
koeien,2
koekeloeren,1
koekie,2
koenig,2
koenigs,8
koeputki,1
koeteyuke,1
koethulhu,1
koetjeboe,1
koetsu,1
koffer,5
kofferkarussell,1
koffermann,1
kofferpacken,2
koffiespel,1
koga,1
kogeneracja,1
kogepunkt,1
kogge,3
koggen,1
kogworks,1
kohedam,1
kohinoor,1
kohlars,1
kohle,2
kohlenhandlung,1
kohlenklau,1
kohls,1
kohorta,1
kohti,1
kohus,1
koi,10
koige,1
koikoi,1
koins,1
koiratieto,1
koiravisa,1
koja,1
kojak,1
kojakten,1
koji,1
kojis,1
kojit,1
kojspel,1
kojuminek,1
kokkelimonke,2
kokko,1
kokkokid,1
kokkolan,1
kokkuri,1
kokoa,1
kokoda,2
kokolores,1
kokonana,1
kokono,1
kokoriko,1
kokorin,1
kokosnuss,4
kokosz,2
kokous,1
koku,1
kokuhaku,1
kokunni,1
kokusai,1
kola,1
kolardo,1
kolej,3
koleje,1
kolejka,3
kolekcjonerska,2
kolimacon,1
kolin,1
kolle,3
kollgatan,1
kollier,1
kolme,1
koln,11
kolnbonn,1
kolner,1
kolnquiz,3
kolnspiel,1
kolon,1
kolonial,1
kolonialspiel,1
kolonie,1
kolonien,3
kolonienspiel,1
kolonisten,11
kolonix,1
kolonizace,1
kolonizacja,1
kolorosuite,1
kolorowy,1
kolory,3
kolossals,1
kolossus,2
kols,1
kolsch,1
koltov,1
kolwezi,1
kolyok,1
komandosi,1
kombat,7
kombi,1
kombifix,1
kombikolor,1
kombikonig,1
kombiniere,1
kombino,1
kombolino,1
komical,1
komikan,1
komische,2
komm,23
kommandeur,3
kommando,1
kommandotrupp,2
kommandowagen,1
komme,2
kommen,1
kommentakerfie,1
kommissar,6
kommt,14
komnata,1
komodo,1
komorow,1
kompagnon,1
kompakt,6
kompaktspiel,1
kompaniet,1
kompass,4
komplett,1
kompositor,1
komputer,1
komrades,1
komsomolskoye,2
komuso,1
konami,1
konan,1
konane,1
konarmiya,1
konduktooripeli,1
konevs,1
konexi,1
konflikt,6
konfrontacja,1
konfusion,1
kong,31
kongbad,1
kongegammon,1
kongespillet,1
kongman,1
kongo,3
kongruentia,1
koniev,1
konig,24
konige,3
koniggratz,3
konigin,2
konigreich,1
konigs,4
konigsberg,2
konigskarten,1
konigsluther,1
konigsspiel,2
konigswahl,1
koning,1
koningen,1
koninkrijk,1
konito,2
konja,1
konjiki,1
konka,1
konkurencja,1
konkurrer,1
konnen,4
kono,4
konobi,1
konog,1
konoha,1
konos,1
konoso,1
konosuke,1
konquest,1
konrad,1
konradin,1
konsekvens,1
konsensus,1
konsorcjum,1
konsorten,1
konstantinopel,1
konstanz,1
konstellation,1
kontact,1
konter,1
konterfix,1
kontesa,1
kontiki,2
kontinent,2
kontonfu,1
kontor,5
kontra,2
kontrabass,1
kontrast,2
konung,1
konversation,1
konwentowa,1
konzentration,1
konzern,1
konzert,1
konzil,1
koo,3
kookaburra,2
kookee,1
kookie,2
kookiz,1
kookoonauts,1
kooky,3
kool,2
koolaid,1
koolist,1
kooliteel,1
koom,1
koonkan,1
koop,1
kooperative,2
koops,1
koopvaart,1
koos,1
kootikooti,1
kop,2
kopalnia,1
kopano,1
kopernikus,1
kopf,14
kopfball,1
kopfchen,6
kopfit,1
kopflose,1
kopfnuss,1
kopfsalat,1
kopftraining,1
kopingarboga,1
kopinski,3
koplopers,1
koppel,1
koppie,1
koppzerbreche,1
kopspijkers,1
kor,1
koraga,1
korall,1
korallenriff,1
koram,1
koranak,1
kordonia,1
korea,35
korean,12
korg,1
korgool,1
korinar,1
korkeasaaripeli,1
korkort,1
korkortsspelet,1
kornerd,1
kornkreise,2
koro,9
korocchi,1
korogashi,3
koromo,1
korona,2
kororin,1
korp,1
korper,6
korperbau,1
korpokkurs,1
korporacja,1
korps,19
korrekt,1
korridor,1
korrigan,1
korrigans,2
korrupte,2
korruptivity,1
korrutuskalake,1
korsbak,2
korsbakspillet,1
korso,1
korsordsspel,2
korsoun,1
korsun,6
kort,3
kortet,1
kortol,1
kortslutning,1
kortspel,3
kortspill,1
korttipeli,2
korvar,1
koryta,1
koryuf,1
kos,1
kosakenschubsen,1
koscha,1
koscheis,1
koschupa,1
kose,1
kosenroku,1
kosherland,1
koshimori,1
koshka,1
koshtaka,1
kosinksy,1
koska,1
kosmiczna,1
kosmiczny,2
kosminen,1
kosmium,1
kosmojet,1
kosmolino,1
kosmonauts,2
kosmopoliya,1
kosmos,1
kosmoses,1
kosmoteka,1
kosovo,2
kosowe,1
kostbare,1
kostce,1
kostenlose,1
kostky,1
kosto,1
kot,2
kotanook,1
koth,2
kotiin,1
kotimaisia,1
kotipihan,3
kotobamodos,1
kotra,2
kotsuku,1
kottelalarm,1
kotter,1
kotu,1
kotubaendum,1
kouarka,1
koubci,2
koucowek,1
kouhei,1
koukou,1
koukyuu,2
koumakyouhen,1
koursk,1
koutei,1
kouu,1
kovalic,1
kovas,1
kowloon,1
koziouakow,1
koziri,1
kp,1
kpack,1
kqj,1
kraak,1
krabbe,2
krabbel,1
krabbelkafer,2
krabbeltrabbel,1
krabby,1
krabcek,1
kraby,1
kracht,1
krackades,1
kraftwagen,1
kragen,1
kragmortha,1
krags,1
krah,1
krahenschatz,1
krahenschreck,1
kraina,2
krainy,1
kraj,1
krakan,2
krakatoa,1
krake,1
kraken,7
krakenalarm,1
krakeninsel,1
krakens,2
krakow,3
kralingen,1
kralle,1
kramer,1
kramers,1
kramforsspelet,1
krampus,3
krang,1
krankenhaus,1
krankenwagenspiel,1
krash,2
kraterschreck,1
kratts,1
kratz,2
kraubnik,1
krauca,1
kraut,1
krauter,1
krawall,1
kraxon,1
krayton,1
krazy,6
kreativ,1
kreative,2
kreativitatstechniken,1
krebiz,4
kreechta,1
krefeld,1
krefeldquiz,1
kreis,2
kreise,1
kreisel,1
kreiselspiel,2
kreivi,1
kremlin,9
krenull,1
kreppuspilie,1
kreskins,1
kreta,3
kreus,2
kreuz,17
kreuzes,1
kreuzfahrt,1
kreuzjunge,1
kreuzung,1
kreuzungen,1
kreuzverhor,2
kreuzwege,1
kreuzweise,1
kreuzwort,1
kreuzwortpulok,1
kreuzwortratselspiel,2
kreuzwortspiel,1
kreuzwortwirbel,1
kreuzwortwurfeln,1
kreyser,1
kribbelkrabbel,3
kribbeln,1
kricket,1
krieg,18
kriegbot,2
kriegen,1
krieger,2
kriegers,2
kriegskunst,1
kriegsmarine,1
kriegspfad,1
kriegspfade,1
kriegspiel,5
kriegsspiel,7
kriget,1
krigsspel,2
krigsspelet,1
krigssporgsmaal,1
krikos,1
krikrakrabbelei,1
krill,2
krilling,1
krim,1
krimi,16
krimikarten,1
krimikartenspiel,1
kriminalfalle,1
kriminalliteratur,1
kriminalspiel,1
krimiquiz,2
krimo,1
krimskrams,2
krimsutep,2
kringelwurm,1
kris,3
krispies,1
kriss,2
kristall,3
kristalle,1
kristallinseln,1
kristin,1
kritzel,1
krizovky,1
kroki,1
kroko,3
krokodil,2
krokodiller,1
krokodilspiel,1
krokoei,1
krokofant,1
krokokick,1
krokolores,1
krol,1
krola,3
krolewskie,1
krolls,1
kromino,1
kromosauri,1
kron,2
krona,1
krone,2
kronen,3
kronia,1
kroniken,1
kroniki,1
kronocell,1
kronor,1
kronos,2
kronstadt,1
kropki,1
kros,2
krosmaster,65
kross,3
krosse,1
krosus,1
kroten,1
krotenfus,1
krotenhopsen,1
krotenschleim,1
krspilie,1
krug,1
krugerwildtuin,1
kruges,1
kruglowka,1
kruipkoekie,1
kruisslag,1
kruissom,1
kruisvuur,1
kruiswoordspel,1
krull,3
krumble,1
krumm,1
krump,1
krunchacommie,1
krur,1
krusade,1
krusinni,1
krutoie,1
krux,1
kruzifizz,1
kruzno,1
kryds,1
krydsord,1
krymenesiae,1
krynea,1
krynn,1
kryomek,2
krypkille,1
krypta,1
krypte,1
krypto,2
krypton,2
kryptonim,1
kryptonite,1
kryptos,2
krysis,1
kryssordspill,1
krystal,1
krysztauowa,2
krzyucowka,1
ks,3
ksari,1
ksbirlcess,1
kseri,1
ksiuucucego,1
kstateopoly,1
ktel,1
ktennis,1
ktizo,1
kto,1
kuado,1
kuala,1
kuamca,1
kuamcianka,1
kuban,1
kubb,2
kubbolino,1
kubbuteo,1
kubeni,1
kubes,1
kublas,1
kubus,3
kuchazu,1
kuche,2
kuchen,1
kuchenchaos,1
kuchenfee,1
kuchenlatein,1
kuchenrallye,1
kuck,2
kuckeliku,1
kuckuck,2
kuckucksei,1
kuddelmuddel,3
kudmori,1
kudoi,1
kudu,1
kue,1
kuesuanstvi,1
kuett,1
kuge,1
kugel,1
kugelblitz,2
kugelduell,1
kugelhund,1
kugelmugel,1
kugeln,1
kugelrunde,1
kugelsnapspiel,1
kuh,5
kuhe,3
kuherweiterung,1
kuhhandel,2
kuhkuck,1
kuhlorado,1
kuhno,1
kuhu,1
kuhul,1
kuidas,1
kuissians,1
kuiti,1
kujaku,1
kuka,1
kukkokiemuu,1
kukla,1
kuknuk,1
kuku,1
kukucska,1
kukuruznik,1
kul,2
kula,2
kulami,1
kulbank,1
kuldetes,1
kuldkarikas,1
kuliga,1
kulikovo,2
kulikovos,1
kulikowe,1
kulinarisches,1
kulissen,1
kulla,1
kullankaivaja,1
kuller,2
kullerbande,1
kullerblume,1
kullerei,1
kullerhexe,1
kullerkafer,1
kullern,1
kullerspas,1
kulltour,1
kulm,1
kult,2
kultainen,1
kultapeli,2
kultmitgliedsausweis,1
kultserien,2
kultspieljetzt,1
kulturdisco,1
kulturvision,1
kultuurilugu,1
kuma,1
kumanjaran,1
kumanjaro,1
kumare,1
kumari,1
kumbu,2
kumbuka,1
kumiliki,1
kuminaamat,1
kumite,3
kummen,1
kummitukset,1
kummitusjuttu,1
kumo,1
kun,2
kundi,1
kundschafter,1
kundts,1
kune,1
kung,25
kungahus,1
kungfu,3
kungsor,1
kuni,2
kunibert,1
kuniberts,1
kuningas,2
kuningtou,1
kuninkaantie,1
kunitori,2
kunlun,2
kunne,1
kunnskap,1
kunnskapsspillet,1
kunoichi,1
kunrat,1
kunskap,2
kunskapsjakten,1
kunskapsspelet,3
kunst,6
kunstbox,1
kunstflugspiel,1
kunstkauz,1
kunstmarkt,1
kunstquiz,6
kunstspiel,3
kunststuck,1
kunterbunt,4
kunterbunte,2
kunterbuntes,2
kuo,1
kup,2
kupferkessel,1
kupido,1
kupiec,1
kurbiskopfbande,1
kurgan,1
kurier,2
kuriosit,1
kurita,2
kurokami,1
kuromaku,1
kurpiach,2
kurragomma,1
kurragommajakt,1
kurre,3
kurs,5
kursk,43
kursks,1
kurt,2
kurth,1
kurtz,1
kuruk,1
kurukshetra,1
kurukuru,1
kurve,2
kury,1
kuryakin,1
kurz,4
kurze,1
kurzer,1
kurzweiliges,1
kus,2
kusa,1
kushite,1
kusimusd,1
kusimused,5
kuskalla,1
kust,1
kuste,1
kusten,1
kustenjager,1
kustrin,1
kusukuma,1
kutas,1
kutschfahrt,1
kutsu,1
kutulu,1
kutuzov,1
kuuduk,1
kuule,1
kuulsin,1
kuuszyn,1
kuva,2
kuwait,3
kuwanyauma,1
kv,4
kvaredroj,1
kvartett,1
kvartettspel,1
kvb,1
kvd,1
kvg,1
kvik,1
kvikke,1
kvikmyndaspilie,1
kvinnofragor,1
kvitt,3
kviz,2
kvizy,1
kvk,2
kvotasvindlie,1
kvothe,1
kwaak,1
kwado,1
kwak,1
kwan,1
kwando,1
kwanzaa,1
kwartet,1
kwatro,1
kwaz,1
kwazooloo,1
kweek,1
kwest,1
kwick,1
kwiiietsch,1
kwik,2
kwikord,1
kwing,1
kwintessens,1
kwintie,1
kwiqwit,1
kwis,1
kwiz,1
kwizniac,1
kwizzz,1
kwon,1
kyabetsu,1
kyalami,2
kyana,1
kyatto,1
kykkelimo,1
kyler,1
kylim,1
kylling,1
kyllingjakten,1
kylnion,1
kylo,1
kymppitonni,1
kyndrithul,1
kynstrin,1
kyogami,1
kyoko,1
kyosokyoku,1
kyoto,5
kyoui,1
kypara,1
kyro,1
kyros,1
kysymysta,1
kythis,1
kyuden,1
kyudsan,1
kyushu,1
kyuu,1
kyuubi,1
kzinti,1
l,7
la,614
lab,24
laban,1
labans,1
labe,1
laberinto,1
labi,1
labirinto,2
labirynt,3
labopoly,1
labor,2
labora,3
laboratorio,1
laboratory,6
labordage,2
laborigines,1
labors,1
labrador,1
labrys,1
labs,3
labyrint,3
labyrinth,68
labyrinthe,2
labyrintheus,1
labyrinthine,1
labyrinthos,1
labyrinths,1
labyrintspil,1
labyrintus,1
labyrinx,1
laccuse,1
lace,1
lach,3
lachag,1
lachen,4
lachparade,1
lacht,2
lachzahn,1
lacorsa,1
lacour,1
lacrosse,5
lacuna,1
lad,1
ladainian,1
ladder,13
ladders,13
laden,1
ladies,7
ladinoscop,1
ladorean,1
ladrao,1
ladro,1
ladron,2
ladrones,1
lady,27
ladybird,1
ladybirds,1
ladybohn,2
ladybug,9
ladys,2
laerad,1
laeropostale,1
laerst,1
laf,1
laffaire,1
laffalympics,1
laga,1
lagartus,1
lage,3
lagerfeuer,1
lago,2
lagoa,1
lagom,1
lagoon,6
lagoona,1
lagoonies,1
lagos,1
laguna,2
lagunaopoly,1
lagunera,1
lahayes,2
lahemay,1
lahjat,1
lahnars,1
lai,1
laid,1
laigle,5
laiglon,1
laikz,1
lair,25
lairds,2
lairs,1
laisser,1
lait,1
laita,1
laitiere,1
laiva,1
laivanvarustajat,1
laivynas,1
laka,1
lake,21
lakebilly,1
lakeedah,1
lakeopoly,1
lakers,2
lakes,5
laketown,1
lakia,1
lakka,1
lakos,1
lakota,1
lalaloopsy,4
lalaska,1
lalelu,1
lalnalion,1
lam,3
lama,1
lamafia,1
lamanite,1
lamarckian,1
lamas,2
lamb,1
lambdaclass,1
lambent,1
lamborghini,1
lame,2
lament,2
lamlameta,1
lamm,3
lammella,1
lammer,1
lamokrady,1
lamour,1
lamp,5
lampara,1
lampe,1
lampoon,1
lamps,1
lan,3
lana,1
lancashire,3
lancaster,10
lance,3
lancelot,2
lancer,3
lances,3
lancien,1
land,151
landbaron,1
landbierparadies,1
lande,3
landed,1
landen,2
lander,10
landerbahnen,2
landerkenner,1
landerszenarien,2
landeskunde,1
landet,1
landfill,1
landgang,1
landhelgisspilie,1
landia,1
landing,12
landings,2
landkreis,1
landkreisspiel,5
landkrieger,1
landleben,1
landlock,1
landlocked,1
landlord,5
landlords,1
landlubbers,1
landmarks,2
landmaus,1
landnam,1
lando,1
landpartie,1
landratte,1
landrush,1
lands,18
landscape,2
landscapes,2
landser,1
landship,1
landships,2
landshut,1
landskamp,1
landsknecht,3
landslagets,1
landslide,2
landsraad,1
landundleuteedition,1
landvogt,1
landwehr,1
landyland,1
lane,16
lanella,1
lanes,3
lanfeust,1
lang,3
langa,1
lange,3
langenfeld,1
langenscheidt,1
langer,1
langfinger,1
langguini,1
langohr,1
langport,1
langrennsvm,1
langrisser,1
langste,1
langstraat,1
langstrump,3
langstrumpf,5
language,10
langue,1
lanka,2
lankhmar,2
lanko,1
lankou,1
lanling,1
lannen,3
lannister,1
lanniversaire,1
lanolinas,1
lanrick,1
lantau,1
lanterloo,1
lantern,8
lanterns,6
lany,1
lanza,1
lao,1
laos,1
laoupala,1
lap,6
lapalisse,1
laperitif,1
laphrodite,1
lapin,1
lapine,1
lapins,1
lapipoker,1
lapis,1
lapitta,1
laplace,1
lapland,2
lappen,1
lappland,1
lapprenti,1
lapprentie,1
lapprodo,1
laps,2
lapsentekopeli,1
laputa,2
laquila,2
lar,5
lara,1
laramie,2
larbre,4
larceny,1
larche,1
lare,2
larene,1
largada,1
large,17
larger,3
largescale,1
largo,3
largos,2
lari,1
lariat,2
laripino,1
lark,1
larkins,1
larkspur,1
larmee,2
larp,1
larpspieler,1
larry,3
larryboys,1
larsens,1
larspillet,1
lart,2
larue,1
larum,1
larva,1
larven,1
las,55
lasa,2
lasalle,1
lascaux,1
lascia,2
laser,14
laserblade,1
laserburn,1
lasergrenadiers,1
laserjagdgrenadiere,1
laserkanone,1
lasermagnum,1
lasermaster,1
lasers,2
laserstorm,1
lash,1
lashout,1
laska,1
laske,1
laskeminen,1
laskemme,1
laskutaituri,1
lass,5
lassadar,6
lassie,3
lasso,2
lassos,1
last,207
lastattu,1
laste,2
lastminute,1
lasy,1
lata,3
latador,1
latari,1
late,10
latelier,1
later,5
lateral,1
laterali,1
latest,2
latice,1
latigo,1
latin,8
latina,1
latinitas,1
latino,1
latitude,1
latria,1
latrotabuli,1
latrox,1
latrunculi,1
latsyrc,1
latt,1
lattaque,2
lattice,1
lattjo,1
lattlurad,1
latty,1
latvia,1
latvija,2
lau,1
lauamang,7
lauamanglaudlina,1
laudalta,1
laudas,1
laude,2
lauderdale,1
lauert,1
lauf,7
laufen,2
laufenden,1
lauffeld,1
lauft,3
laugh,8
laughcronyms,1
laughing,3
laughter,8
laula,1
laulu,1
laulude,1
launch,11
launcher,3
launchers,1
launchpad,1
launchtime,1
laundromat,1
laundry,6
laura,6
lauras,9
laurel,3
laurent,1
laurie,1
laurin,2
laus,1
lausanne,1
lausch,1
lausdell,1
lauseschreck,1
laust,1
lausterlitz,1
lautapeli,3
lauto,1
lautoportrait,1
lautoroute,1
lav,1
lava,3
lavellum,1
lavender,1
laventure,2
laver,1
laverne,1
lavrentiy,1
lavvincente,1
law,21
lawless,4
lawmen,1
lawn,5
lawrence,5
lawrences,1
laws,4
lawsuit,2
lawyer,5
lawyers,4
lax,1
laxia,1
laxtime,1
lay,3
laydens,1
layers,1
layli,1
layzner,2
lazarus,2
lazer,1
lazo,1
lazy,4
lcio,1
lcr,1
ldeck,1
lds,5
ldsopoly,1
le,312
lea,1
lead,6
leadbetters,1
leader,86
leaders,15
leadership,2
leadslinger,1
leaf,3
leafs,1
leagathon,1
league,135
leaguers,1
leagues,2
leaky,1
lean,2
leander,2
leaning,2
leap,17
leapers,1
leapfrog,3
leapin,2
leapinaline,1
leaping,4
leapo,1
leaps,2
lear,1
learn,20
learned,1
learning,16
lease,2
least,4
leather,2
leatherneck,4
leathernecks,2
leave,8
leaves,6
leaving,3
lebanon,5
lebe,3
leben,28
lebens,5
lebensraum,1
lebkuchenmann,1
lebre,1
lebron,1
lebt,1
lecardo,2
lech,1
lechappee,2
lechiquier,1
lecia,1
lecker,4
leckermaulchen,1
lecksfiedle,1
leckt,1
leclissi,1
lecole,2
lecologie,1
lecoques,1
lectio,1
lectramatic,2
lectron,1
led,1
ledges,1
ledici,1
lee,20
leeds,4
leela,1
leelawadee,1
leer,1
leere,1
leerjaar,6
leeroy,1
lees,3
leetown,1
leeuw,1
left,10
lefthand,1
leftovers,1
leg,9
legacies,2
legacy,84
legado,1
legal,3
legamoria,1
leganblanc,1
legatus,1
legemax,1
legend,91
legenda,1
legendairy,3
legendak,1
legendary,41
legende,2
legenden,23
legendes,3
legendice,1
legends,149
legendy,1
legepladsen,1
legespas,1
legespiele,1
legger,1
leghe,1
legie,1
legio,2
legion,59
legionar,1
legionarios,1
legionnaire,1
legions,39
legislacyjny,1
legitimacy,1
legless,1
legnano,1
legnica,1
lego,29
legoduplo,1
legrand,1
legrands,1
legs,4
lehr,2
lehrer,1
lehrreiche,1
lehrreiches,1
lei,1
leia,1
leiab,1
leib,1
leibkoche,1
leibstandarte,6
leicestershire,1
leich,1
leidenschaft,1
leidt,1
leijonan,1
leik,1
leiki,1
leikslokum,6
leine,1
leinen,1
leipzig,15
leipzigquiz,1
leisner,1
leistungsgrenze,1
leisure,1
leisureland,1
leiterspiel,1
leitin,1
lek,2
leksikon,1
leksis,1
leksoscor,1
lelefante,1
lelupeli,1
lelysee,1
lemak,1
lemans,1
lemberg,1
lembitu,2
lemlican,5
lemma,1
lemming,3
lemminge,1
lemmings,5
lemniscate,1
lemonade,6
lemongrab,1
lemons,3
lemony,1
lempereur,6
lempiregeneral,1
lemuria,2
lemurian,1
len,2
lencanteur,1
lenclos,1
lend,2
lending,1
lenergie,1
length,1
lenigme,1
lenin,1
leningrad,17
lenino,1
lenkbare,1
lenken,1
lenmorre,1
lennox,1
lenny,2
lens,1
lensman,3
lentajat,1
lentava,1
lentornnet,1
lentre,1
leo,6
leon,3
leonard,1
leonardi,2
leonardino,1
leonardo,12
leone,2
leopard,6
leopards,1
leopold,1
lepak,1
lepanto,7
lepee,2
lepel,1
lepelstronten,1
leppisleikki,1
lepre,1
leprechaun,2
leprechauns,5
lepreuve,1
lere,1
lereia,1
lern,1
lernabenteuer,3
lerndrachen,3
lerne,6
lerneenglisch,1
lernen,4
lernmobil,1
lernquiz,6
lernspiel,10
lernspielsammlung,1
lernspielzoo,1
lernt,1
lernzoo,1
leroe,1
leros,2
les,150
lesbian,1
lese,1
leseburg,1
lesedschungel,1
lesehexe,1
lesen,5
lesespill,1
lesezauber,1
lesie,1
lesnaja,1
lesnaya,1
lesnoie,1
lespeculador,1
lesprit,3
less,9
lesser,1
lesson,1
lest,5
lester,1
lesters,1
leszczynowa,1
let,13
letape,1
lethal,3
lethargos,1
lethbridge,1
leti,1
letnisko,1
letour,1
letra,3
letramix,2
letras,2
letre,1
letres,1
lets,93
letstick,1
letter,60
letterario,1
letterbingo,1
letterbox,2
letterflip,1
lettergrams,1
lettergrepenspel,1
letterhead,1
letterip,1
letterix,1
lettermatching,1
lettermix,1
letterrou,1
letters,24
letterspel,2
letterwordpicture,1
letting,1
lettowvorbeck,1
lettra,1
lettree,1
lettres,6
lettro,2
letz,1
letzebuerg,1
letzte,6
letzten,4
letzter,2
letztes,1
leu,1
leubne,1
leuchtturm,2
leuchtturmarchitekten,1
leudalspel,1
leuropa,1
leurope,3
leut,1
leute,4
leuthen,3
leutnant,1
leva,1
levantine,1
levaso,1
levee,3
leveil,1
level,44
levels,1
leven,1
levenselixir,1
leverage,2
leveticus,1
levi,1
leviathan,7
leviathans,4
levies,1
levitate,1
levitating,1
levitation,1
levite,1
levy,1
lew,2
lewd,1
lewes,1
lewis,11
lex,5
lexecutrice,1
lexi,1
lexico,15
lexicon,3
lexicons,1
lexigo,2
lexihenge,1
lexikon,1
lexikonspiel,1
lexil,1
leximania,1
lexis,1
lexit,1
lexogon,2
lexograms,1
lexomachies,1
lexpansion,1
lexploratrice,1
lexposition,1
lextension,5
ley,2
leyendas,1
leyte,7
lezen,1
lgaim,5
lgame,2
lgammon,1
lgdn,1
lheure,1
lhistoire,7
lhomme,2
lhuile,1
li,5
liaisons,1
liao,1
liaoshen,1
liar,9
liars,11
lib,1
libajatek,1
libation,1
libel,1
liber,1
liberallife,1
liberalopoly,1
liberals,1
liberata,1
liberated,1
liberating,2
liberation,8
liberator,2
liberators,1
liberez,1
liberia,1
liberian,1
libero,2
libertad,3
libertadores,1
libertalia,1
libertas,1
libertate,1
liberte,2
liberty,17
libido,3
libra,1
librarian,1
librarianship,1
library,9
libre,4
libris,2
librium,1
libro,3
libs,4
libya,3
licence,1
license,3
licensed,4
licenseplate,1
licenses,1
licensing,2
lich,6
lichaam,1
liche,1
lichemaster,1
liches,1
licht,2
lichten,1
lichtschwert,1
lichtung,1
lickety,2
lickin,1
lickwound,1
licorne,1
lid,2
liddys,1
lidingo,1
lidje,1
lido,1
lie,12
liebe,10
lieben,4
liebenden,1
lieber,6
liebes,1
liebesgefluster,1
liebesquiz,1
liebesspiel,1
liebhaber,1
lieblingsspiel,2
liebrary,1
liebsten,1
liechtenauer,1
liechtenstein,2
lieder,1
liedjesbingo,1
liedon,1
liefde,1
liefdes,1
liege,2
liegnitz,1
liegt,1
lien,2
lies,19
lieselotte,2
lieser,1
lietuva,2
lieutenant,23
life,193
lifeboat,6
lifeboats,1
lifecards,1
lifeform,1
lifeguard,1
lifeline,2
lifelinks,1
lifer,1
lifes,4
lifesaver,1
lifespan,1
lifestories,1
lifestyle,5
lifestyles,4
lifetime,2
lift,5
liftoff,1
lifts,1
liga,3
ligato,1
ligera,1
light,77
lighter,1
lightfight,1
lighthouse,3
lighthouseopoly,1
lightin,1
lighting,1
lightly,1
lightning,36
lights,8
lightsaber,3
lightsabers,1
lightseekers,1
lightspeed,2
lightstone,1
lightthe,1
lightyear,1
ligier,1
lignum,4
ligny,5
ligori,1
ligretto,8
ligue,1
liguria,1
liikemiespeli,1
liikenne,1
liikennepeli,1
liiklusmang,1
like,28
likebe,1
likes,1
likethink,1
likewise,1
lil,6
lile,1
lilian,1
liliana,1
liliput,1
lilith,4
liliths,1
lilla,7
lille,6
lillestorm,1
lilli,7
lilliburlero,1
lillifee,6
lillis,2
lilly,4
lillypads,1
lillys,3
lilo,2
lily,8
lilypad,1
lilypads,1
lim,1
limage,1
limagination,1
limanowa,1
limb,1
limbo,9
limburg,1
lime,1
limerick,1
limericks,1
limes,8
limeys,1
limit,12
limite,7
limited,51
limitierte,1
limitierter,1
limits,7
limmonde,1
limn,1
limoges,1
limonaadi,1
limousin,1
limpeh,1
lin,2
linafferrabile,1
linage,1
linaje,1
linart,1
lincard,1
lince,1
lincence,1
lincoln,17
lincolns,5
linconstante,1
lindbergh,1
lindenau,1
lindenstrase,1
lindley,1
lindy,3
line,108
linea,1
lineage,2
linear,2
linearity,1
linebacker,2
linebreakers,1
linekers,1
liner,1
liners,3
lines,30
lineup,5
ling,1
lingering,1
lingo,12
lingon,1
lingua,3
linguabank,1
linguafun,1
linguatheque,1
linguishtik,1
linguistics,1
lingwhist,1
linie,2
linings,1
linitie,1
linja,1
link,16
linkage,3
linkaletter,1
linkalikes,1
linkara,1
linkeballen,1
linkee,2
linkervoetrechtervoet,1
linkit,1
linkity,1
linkletters,1
linknotize,1
linko,2
linkology,3
linkoping,4
links,7
linkup,2
linkwords,1
linnapeli,1
linnas,1
linnumang,1
linnuretk,2
lino,2
linop,1
linotte,1
linq,1
linqer,1
lintrus,1
linus,2
linvincible,1
linwood,2
linx,2
linz,1
lion,56
lionel,1
lionheart,4
lionhearted,1
lions,20
lipiec,1
lippe,1
lipps,1
lippstadt,1
lippupeli,1
lippy,1
lips,3
liquid,1
lirum,1
lis,2
lisa,6
lisakaardid,3
lisakysymykset,1
lisaveta,1
lisboa,2
lisbon,1
liskosafari,1
lisola,4
lissy,4
list,13
listen,3
listening,2
listers,1
listes,3
listige,1
listography,1
liston,1
lists,31
lisztquiz,1
lit,1
litalia,1
lite,12
liten,1
literacy,1
literarisches,3
literary,2
literati,2
literatur,1
literature,1
literumi,1
litet,1
litre,1
lits,1
litter,2
litterae,1
litterarum,1
litterateur,1
little,253
littler,1
littleroller,1
littles,3
littlest,6
littlestorm,1
littorio,1
liubcia,1
liubo,1
liudmila,1
live,23
liveaction,1
liveboardgame,1
lived,3
lively,2
livequiz,1
liver,1
liverpool,7
lives,10
livestock,3
livestocked,1
livet,2
livets,1
livid,1
livin,1
living,18
livingstins,1
livingston,1
livingstone,4
livraddningsspelet,1
livre,2
livret,3
lixo,1
lixso,1
liz,1
lizard,6
lizardmen,6
lizards,3
lizzie,3
ljomarallyspilie,1
llama,3
llamanomics,1
llamas,1
llaves,1
lleida,1
llena,2
llengua,1
llotja,1
lloyd,1
